Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
01/26/2022,United States,2020,1,2020-01-04,60173,55007,843,11569,1829,2537,1559,3501,1067,1094,629,14202,3110,0,0,,,,,,,,,,,,,,,
01/26/2022,United States,2020,2,2020-01-11,60741,55758,861,11962,1941,2566,1528,3710,1035,1092,649,13913,3188,1,1,,,,,,,,,,,,,,,
01/26/2022,United States,2020,3,2020-01-18,59360,54515,829,11702,1819,2491,1484,3526,992,1121,610,13593,3256,2,1,,,,,,,,,,,,,,,
01/26/2022,United States,2020,4,2020-01-25,59158,54396,828,11879,1864,2517,1488,3403,979,1107,637,13610,3185,2,1,,,,,,,,,,,,,,,
01/26/2022,United States,2020,5,2020-02-01,58827,53996,811,11963,1828,2480,1411,3313,981,1074,613,13463,3084,0,0,,,,,,,,,,,,,,,
01/26/2022,United States,2020,6,2020-02-08,59478,54409,806,11704,1957,2515,1464,3413,974,1135,599,14001,3056,3,2,,,,,,,,,,,,,,,
01/26/2022,United States,2020,7,2020-02-15,58817,53971,792,11806,1848,2537,1513,3477,979,1070,616,13644,3088,5,2,,,,,,,,,,,,,,,
01/26/2022,United States,2020,8,2020-02-22,58906,53983,779,11780,1880,2515,1461,3454,968,1059,608,13630,3083,6,6,,,,,,,,,,,,,,,
01/26/2022,United States,2020,9,2020-02-29,59330,54313,813,11790,1831,2519,1507,3460,1011,1092,677,13712,3126,9,9,,,,,,,,,,,,,,,
01/26/2022,United States,2020,10,2020-03-07,59714,54399,811,11712,1868,2511,1608,3471,1002,1071,655,13693,3097,38,34,,,,,,,,,,,,,,,
01/26/2022,United States,2020,11,2020-03-14,58667,53526,756,11568,1743,2445,1641,3390,993,1078,643,13435,3165,60,55,,,,,,,,,,,,,,,
01/26/2022,United States,2020,12,2020-03-21,59216,54300,840,11732,1830,2514,1740,3384,1021,1105,617,13203,3066,588,550,,,,,,,,,,,,,,,
01/26/2022,United States,2020,13,2020-03-28,63014,58230,847,11782,2044,2749,1783,3519,1064,1024,630,13708,3067,3217,3035,,,,,,,,,,,,,,,
01/26/2022,United States,2020,14,2020-04-04,72281,67434,947,11591,2297,2871,1849,3538,1027,1038,689,14943,3165,10134,9632,,,,,,,,,,,,,,,
01/26/2022,United States,2020,15,2020-04-11,79078,73987,833,11549,2354,2963,1615,3441,1017,1120,665,15761,3191,16324,15509,,,,,,,,,,,,,,,
01/26/2022,United States,2020,16,2020-04-18,76794,71882,745,11210,2270,2899,1233,3195,916,1098,669,14567,3204,17203,16294,,,,,,,,,,,,,,,
01/26/2022,United States,2020,17,2020-04-25,73920,68744,735,11366,2085,2804,1138,2994,887,987,674,13862,3058,15554,14657,,,,,,,,,,,,,,,
01/26/2022,United States,2020,18,2020-05-02,69293,63922,739,11097,1935,2727,1009,2928,851,961,547,13003,3042,13217,12432,,,,,,,,,,,,,,,
01/26/2022,United States,2020,19,2020-05-09,66803,61166,720,11014,1972,2498,864,2808,855,938,590,13167,2848,11237,10458,,,,,,,,,,,,,,,
01/26/2022,United States,2020,20,2020-05-16,64480,58983,679,11269,1969,2432,857,2770,787,976,564,12741,2959,9237,8495,,,,,,,,,,,,,,,
01/26/2022,United States,2020,21,2020-05-23,61619,56007,713,11116,1834,2417,804,2675,743,917,571,12788,2827,7248,6593,,,,,,,,,,,,,,,
01/26/2022,United States,2020,22,2020-05-30,59655,53978,654,10903,1813,2261,751,2633,759,893,576,12444,2851,6172,5593,,,,,,,,,,,,,,,
01/26/2022,United States,2020,23,2020-06-06,58893,52922,729,11081,1727,2302,701,2563,779,904,557,12462,2791,5058,4518,,,,,,,,,,,,,,,
01/26/2022,United States,2020,24,2020-06-13,58027,52279,693,11130,1741,2326,700,2503,737,923,586,12420,2838,4232,3729,,,,,,,,,,,,,,,
01/26/2022,United States,2020,25,2020-06-20,57988,52204,685,11157,1792,2362,756,2563,761,932,610,12409,2923,3851,3347,,,,,,,,,,,,,,,
01/26/2022,United States,2020,26,2020-06-27,58504,52640,719,11356,1766,2288,722,2539,775,952,577,12512,2959,3844,3332,,,,,,,,,,,,,,,
01/26/2022,United States,2020,27,2020-07-04,59813,53798,682,11298,1932,2361,658,2623,780,985,593,12868,2833,4552,4048,,,,,,,,,,,,,,,
01/26/2022,United States,2020,28,2020-07-11,61932,55840,764,11333,1954,2472,739,2614,751,915,667,13027,2921,5785,5236,,,,,,,,,,,,,,,
01/26/2022,United States,2020,29,2020-07-18,63175,57147,708,11371,1886,2501,767,2648,712,984,666,12879,2981,7197,6530,,,,,,,,,,,,,,,
01/26/2022,United States,2020,30,2020-07-25,64239,58382,684,11554,1957,2510,781,2558,731,969,674,12930,2913,8247,7518,,,,,,,,,,,,,,,
01/26/2022,United States,2020,31,2020-08-01,64223,58272,689,11513,1989,2502,760,2737,779,961,628,12830,2989,8306,7612,,,,,,,,,,,,,,,
01/26/2022,United States,2020,32,2020-08-08,63702,57823,784,11529,1797,2434,781,2594,730,909,677,12816,3036,7870,7182,,,,,,,,,,,,,,,
01/26/2022,United States,2020,33,2020-08-15,63629,57746,736,11703,1892,2527,754,2655,798,968,653,12839,2946,7262,6560,,,,,,,,,,,,,,,
01/26/2022,United States,2020,34,2020-08-22,62566,56609,735,11518,1935,2566,696,2643,782,967,639,12770,2930,6387,5747,,,,,,,,,,,,,,,
01/26/2022,United States,2020,35,2020-08-29,61088,55330,726,11575,1882,2430,678,2558,745,983,622,12472,2994,5753,5151,,,,,,,,,,,,,,,
01/26/2022,United States,2020,36,2020-09-05,60231,54246,701,11375,1837,2506,733,2552,801,929,581,12511,2862,5019,4434,,,,,,,,,,,,,,,
01/26/2022,United States,2020,37,2020-09-12,59645,53940,697,11468,1897,2330,681,2559,748,928,613,12352,3046,4627,4077,,,,,,,,,,,,,,,
01/26/2022,United States,2020,38,2020-09-19,59721,54131,744,11630,1861,2373,716,2518,778,921,635,12688,2948,4279,3763,,,,,,,,,,,,,,,
01/26/2022,United States,2020,39,2020-09-26,60606,55067,764,11861,1843,2499,724,2672,786,923,600,12712,3076,4301,3793,,,,,,,,,,,,,,,
01/26/2022,United States,2020,40,2020-10-03,59775,54099,717,11423,1895,2414,763,2578,719,943,658,12645,2886,4243,3697,,,,,,,,,,,,,,,
01/26/2022,United States,2020,41,2020-10-10,61756,55937,757,11828,1895,2515,725,2614,799,958,638,12806,3123,4821,4277,,,,,,,,,,,,,,,
01/26/2022,United States,2020,42,2020-10-17,60616,55193,776,11319,1843,2538,724,2598,815,1023,603,12575,3039,5200,4591,,,,,,,,,,,,,,,
01/26/2022,United States,2020,43,2020-10-24,62184,56854,728,11678,1836,2572,766,2699,796,944,610,12875,3078,5996,5328,,,,,,,,,,,,,,,
01/26/2022,United States,2020,44,2020-10-31,63392,58054,699,11529,1936,2460,793,2570,832,921,588,13151,3104,7026,6256,,,,,,,,,,,,,,,
01/26/2022,United States,2020,45,2020-11-07,67541,61724,765,11807,1960,2664,800,2893,814,1028,674,13668,3158,8763,7844,,,,,,,,,,,,,,,
01/26/2022,United States,2020,46,2020-11-14,68815,63225,795,11745,2024,2737,846,2754,858,1022,604,13472,3174,10652,9580,,,,,,,,,,,,,,,
01/26/2022,United States,2020,47,2020-11-21,71635,66225,818,11632,2117,2656,830,2815,857,1032,690,13634,3215,13359,12069,,,,,,,,,,,,,,,
01/26/2022,United States,2020,48,2020-11-28,73268,67906,773,11395,2155,2775,810,2753,861,1043,695,13555,3127,15625,14133,,,,,,,,,,,,,,,
01/26/2022,United States,2020,49,2020-12-05,77403,71979,844,11357,2214,2843,915,2835,903,1035,711,14306,3313,18569,16854,,,,,,,,,,,,,,,
01/26/2022,United States,2020,50,2020-12-12,81955,76406,836,11904,2301,2934,952,3032,969,1086,736,14563,3479,20925,19066,,,,,,,,,,,,,,,
01/26/2022,United States,2020,51,2020-12-19,82872,77504,840,11780,2355,3060,948,2947,920,1020,725,14749,3466,22328,20424,,,,,,,,,,,,,,,
01/26/2022,United States,2020,52,2020-12-26,84318,78700,857,11693,2327,2982,979,2861,922,1124,784,14835,3385,23386,21366,,,,,,,,,,,,,,,
01/26/2022,United States,2020,53,2021-01-02,86975,81087,894,11681,2445,3074,1010,3057,903,1109,758,15211,3503,24875,22739,,,,,,,,,,,,,,,
01/26/2022,United States,2021,1,2021-01-09,87069,81227,852,11332,2376,2944,1026,2955,938,1156,787,15079,3369,25972,23890,,,,,,,,,,,,,,,
01/26/2022,United States,2021,2,2021-01-16,87413,81648,830,11850,2470,2995,1002,2935,965,1223,794,14986,3534,25702,23483,,,,,,,,,,,,,,,
01/26/2022,United States,2021,3,2021-01-23,83701,78161,842,11572,2215,2931,927,2814,902,1187,769,14606,3447,23694,21626,,,,,,,,,,,,,,,
01/26/2022,United States,2021,4,2021-01-30,79196,73693,784,11691,2185,2651,908,2779,956,1165,720,14269,3293,20331,18389,,,,,,,,,,,,,,,
01/26/2022,United States,2021,5,2021-02-06,76501,70656,833,11591,2098,2595,848,2859,927,1130,787,14401,3322,17035,15233,,,,,,,,,,,,,,,
01/26/2022,United States,2021,6,2021-02-13,71520,65926,832,11493,2085,2395,860,2659,895,1113,714,13945,3397,13520,11986,,,,,,,,,,,,,,,
01/26/2022,United States,2021,7,2021-02-20,69502,63994,821,11413,2302,2494,879,2702,862,1073,720,14240,3187,10815,9489,,,,,,,,,,,,,,,
01/26/2022,United States,2021,8,2021-02-27,66727,60994,868,11622,2000,2483,796,2625,891,1083,679,13593,3218,8652,7501,,,,,,,,,,,,,,,
01/26/2022,United States,2021,9,2021-03-06,63680,57959,790,11427,1981,2305,841,2580,817,1064,697,13290,3173,6721,5765,,,,,,,,,,,,,,,
01/26/2022,United States,2021,10,2021-03-13,61869,56252,840,11402,1910,2294,782,2626,859,1019,737,13181,3096,5717,4781,,,,,,,,,,,,,,,
01/26/2022,United States,2021,11,2021-03-20,60362,54475,767,11289,1974,2183,754,2556,849,983,741,12763,3081,4891,4082,,,,,,,,,,,,,,,
01/26/2022,United States,2021,12,2021-03-27,60795,55019,742,11424,1916,2251,696,2672,844,1031,732,13084,3119,4447,3761,,,,,,,,,,,,,,,
01/26/2022,United States,2021,13,2021-04-03,58671,52938,702,11093,1940,2047,704,2512,847,1012,720,12538,2952,4195,3519,,,,,,,,,,,,,,,
01/26/2022,United States,2021,14,2021-04-10,60968,54723,716,11565,1899,2181,752,2614,779,1037,751,12941,3057,4312,3638,,,,,,,,,,,,,,,
01/26/2022,United States,2021,15,2021-04-17,59124,53270,684,11381,1808,1964,687,2469,770,978,712,12778,3114,4444,3759,,,,,,,,,,,,,,,
01/26/2022,United States,2021,16,2021-04-24,60229,54329,727,11570,1906,2039,704,2565,861,979,685,12966,3101,4594,3921,,,,,,,,,,,,,,,
01/26/2022,United States,2021,17,2021-05-01,59829,54079,710,11616,1907,2125,691,2616,837,995,691,12801,2939,4169,3589,,,,,,,,,,,,,,,
01/26/2022,United States,2021,18,2021-05-08,58963,53023,701,11357,1888,2098,701,2582,844,911,733,12649,2972,3997,3430,,,,,,,,,,,,,,,
01/26/2022,United States,2021,19,2021-05-15,58430,52655,689,11539,1862,2014,669,2518,836,968,725,12386,2974,3687,3165,,,,,,,,,,,,,,,
01/26/2022,United States,2021,20,2021-05-22,58705,52693,715,11599,1711,2164,641,2616,863,973,757,12359,3000,3235,2740,,,,,,,,,,,,,,,
01/26/2022,United States,2021,21,2021-05-29,57286,51430,729,11271,1777,2005,657,2568,837,1021,736,12434,2919,2771,2300,,,,,,,,,,,,,,,
01/26/2022,United States,2021,22,2021-06-05,57364,51230,702,11481,1724,2033,634,2580,795,958,770,12403,2866,2345,1993,,,,,,,,,,,,,,,
01/26/2022,United States,2021,23,2021-06-12,56873,50624,733,11292,1799,2077,666,2604,817,951,766,12337,2853,2037,1675,,,,,,,,,,,,,,,
01/26/2022,United States,2021,24,2021-06-19,57149,51025,727,11525,1788,2088,641,2573,874,1000,796,12541,2908,1773,1430,,,,,,,,,,,,,,,
01/26/2022,United States,2021,25,2021-06-26,56821,50742,748,11487,1846,1976,697,2642,897,944,818,12348,2952,1632,1310,,,,,,,,,,,,,,,
01/26/2022,United States,2021,26,2021-07-03,57429,51199,745,11567,1813,2051,621,2640,815,970,877,12540,3007,1540,1229,,,,,,,,,,,,,,,
01/26/2022,United States,2021,27,2021-07-10,57078,50765,772,11498,1708,1969,715,2592,882,1004,857,12432,2877,1638,1338,,,,,,,,,,,,,,,
01/26/2022,United States,2021,28,2021-07-17,57061,51113,773,11566,1761,2020,716,2709,841,961,840,12168,2948,1985,1687,,,,,,,,,,,,,,,
01/26/2022,United States,2021,29,2021-07-24,58260,52281,780,11527,1785,2030,684,2676,780,938,903,12393,2987,2761,2410,,,,,,,,,,,,,,,
01/26/2022,United States,2021,30,2021-07-31,60128,54205,766,11628,1758,2136,743,2575,840,977,955,12690,2908,4108,3714,,,,,,,,,,,,,,,
01/26/2022,United States,2021,31,2021-08-07,63071,56969,747,11662,1882,2133,722,2788,811,985,974,12727,2952,6450,5894,,,,,,,,,,,,,,,
01/26/2022,United States,2021,32,2021-08-14,66262,60407,784,11844,1979,2135,764,2667,846,929,1170,12943,2920,9338,8699,,,,,,,,,,,,,,,
01/26/2022,United States,2021,33,2021-08-21,69238,63398,752,11756,1922,2167,761,2758,848,1012,1164,12901,3036,12120,11293,,,,,,,,,,,,,,,
01/26/2022,United States,2021,34,2021-08-28,71308,65467,733,11652,1973,2248,796,2693,915,1020,1263,13128,2949,14085,13181,,,,,,,,,,,,,,,
01/26/2022,United States,2021,35,2021-09-04,72604,66824,762,11577,1959,2282,740,2654,830,1015,1345,13119,3033,15377,14420,,,,,,,,,,,,,,,
01/26/2022,United States,2021,36,2021-09-11,72676,66789,813,11385,1992,2231,841,2653,891,1021,1417,13112,3068,15249,14287,,,,,,,,,,,,,,,
01/26/2022,United States,2021,37,2021-09-18,72390,66789,803,11684,1992,2354,825,2744,916,1041,1487,12795,3006,15082,14036,,,,,,,,,,,,,,,
01/26/2022,United States,2021,38,2021-09-25,71136,65664,795,11598,1977,2299,803,2687,856,1026,1510,12692,3049,14167,13197,,,,,,,,,,,,,,,
01/26/2022,United States,2021,39,2021-10-02,70054,64609,846,11714,1923,2256,817,2690,866,1049,1655,12875,3007,12586,11606,,,,,,,,,,,,,,,
01/26/2022,United States,2021,40,2021-10-09,68031,62823,833,11588,1900,2253,777,2715,845,967,1746,12859,3063,11016,10119,,,,,,,,,,,,,,,
01/26/2022,United States,2021,41,2021-10-16,66271,61318,814,11500,1809,2143,829,2737,865,1010,1858,12708,3042,9694,8851,,,,,,,,,,,,,,,
01/26/2022,United States,2021,42,2021-10-23,65767,60928,856,11525,1838,2255,787,2670,922,989,1953,12725,3109,8783,7953,,,,,,,,,,,,,,,
01/26/2022,United States,2021,43,2021-10-30,65185,60427,803,11556,1944,2254,816,2615,853,1052,2140,12844,3139,7817,7052,,,,,,,,,,,,,,,
01/26/2022,United States,2021,44,2021-11-06,64353,59561,766,11325,1901,2249,867,2764,901,1026,2544,12662,3127,7074,6323,,,,,,,,,,,,,,,
01/26/2022,United States,2021,45,2021-11-13,65073,60670,801,11497,1926,2407,784,2663,918,1020,2710,12917,3170,6989,6309,,,,,,,,,,,,,,,
01/26/2022,United States,2021,46,2021-11-20,64308,60166,773,11258,1855,2341,852,2672,880,1014,2841,12852,3093,7107,6355,,,,,,,,,,,,,,,
01/26/2022,United States,2021,47,2021-11-27,64900,61133,852,11231,1909,2349,824,2696,899,978,3132,12908,3160,7604,6832,,,,,,,,,,,,,,,
01/26/2022,United States,2021,48,2021-12-04,66408,62637,841,11350,1868,2305,866,2729,883,1092,3384,12933,3212,8418,7670,,,,,,,,,,,,,,,
01/26/2022,United States,2021,49,2021-12-11,67193,63603,743,11409,1881,2265,970,2850,917,1011,3395,13092,3160,9189,8367,,,,,,,,,,,,,,,
01/26/2022,United States,2021,50,2021-12-18,65139,61907,776,10869,1847,2260,905,2733,900,1017,3464,12550,3088,9451,8655,,,,,,,,,,,,,,,
01/26/2022,United States,2021,51,2021-12-25,64088,61220,751,10820,1702,2332,933,2765,870,1017,3517,12400,3001,9342,8504,,,,,,,,,,,,,,,
01/26/2022,United States,2021,52,2022-01-01,61799,59302,727,10048,1733,2171,936,2655,815,1031,3656,11860,2842,9688,8771,,,,,,,,,,,,,,,
01/26/2022,United States,2022,1,2022-01-08,51371,50056,555,7964,1324,1844,759,2307,690,798,3439,10004,2257,9694,8712,,,,,,,,,,,,,,,
01/26/2022,United States,2022,2,2022-01-15,38297,37572,383,5675,934,1605,483,1611,523,541,2642,7039,1722,8471,7624,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,1,2020-01-04,1082,1009,15,196,25,54,28,86,13,25,25,268,81,0,0,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,2,2020-01-11,1127,1060,25,197,17,41,27,72,20,23,34,274,68,0,0,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,3,2020-01-18,1039,976,28,201,24,53,31,73,21,23,24,239,45,0,0,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,4,2020-01-25,1056,982,16,190,23,54,29,61,11,14,23,284,70,,0,,,,,,,,,,,,,,Suppressed (counts 1-9),
01/26/2022,Alabama,2020,5,2020-02-01,1026,949,15,157,16,58,31,76,17,20,23,265,55,0,0,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,6,2020-02-08,1120,1028,26,191,24,45,28,70,20,24,27,304,52,0,0,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,7,2020-02-15,1095,1020,17,193,24,50,35,74,23,18,25,255,81,0,0,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,8,2020-02-22,1098,1018,17,222,29,47,25,65,12,12,15,285,74,0,0,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,9,2020-02-29,1164,1093,20,212,28,62,30,88,20,21,25,294,60,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
01/26/2022,Alabama,2020,10,2020-03-07,1057,953,18,144,25,65,34,60,24,23,22,265,57,0,0,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,11,2020-03-14,1091,1013,16,199,31,65,30,75,28,27,20,265,69,0,0,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,12,2020-03-21,1059,986,17,227,25,46,26,67,24,22,16,263,72,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
01/26/2022,Alabama,2020,13,2020-03-28,1073,989,15,188,23,67,26,75,24,15,21,244,69,23,20,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,14,2020-04-04,1156,1077,27,202,34,74,23,67,24,22,25,257,68,49,45,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,15,2020-04-11,1135,1056,25,166,31,63,18,60,20,17,28,265,64,81,77,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,16,2020-04-18,1149,1053,20,183,35,62,18,67,21,17,19,249,62,89,85,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,17,2020-04-25,1139,1037,20,200,28,55,24,53,12,17,12,265,63,85,78,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,18,2020-05-02,1147,1048,17,197,22,57,26,67,19,24,10,271,62,81,75,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,19,2020-05-09,1171,1084,17,201,28,45,12,58,18,15,22,305,52,116,105,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,20,2020-05-16,1148,1049,19,203,29,47,15,71,17,21,22,259,49,96,89,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,21,2020-05-23,1153,1055,22,192,22,62,18,53,15,21,25,282,55,82,78,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,22,2020-05-30,1109,999,23,161,29,53,21,52,14,15,23,241,47,103,99,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,23,2020-06-06,1173,1071,27,212,20,48,16,62,19,15,15,290,55,91,86,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,24,2020-06-13,1138,1031,14,176,23,53,11,65,17,24,19,280,58,81,75,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,25,2020-06-20,1090,1007,29,198,22,48,12,62,16,17,25,257,55,88,81,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,26,2020-06-27,1151,1064,12,222,23,60,16,55,15,17,18,266,67,103,95,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,27,2020-07-04,1201,1112,14,221,30,59,13,60,,18,25,296,49,125,119,,,,,,,,,Suppressed (counts 1-9),,,,,,
01/26/2022,Alabama,2020,28,2020-07-11,1265,1177,17,217,31,62,12,64,14,19,23,305,72,135,122,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,29,2020-07-18,1289,1201,23,203,24,68,22,71,17,19,24,273,66,192,172,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,30,2020-07-25,1333,1257,21,212,28,65,17,69,10,20,22,285,78,251,241,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,31,2020-08-01,1364,1269,15,198,23,56,25,74,21,20,15,310,71,263,238,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,32,2020-08-08,1379,1288,15,177,32,40,21,76,14,17,27,291,69,264,253,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,33,2020-08-15,1305,1207,,166,26,60,20,68,21,15,24,291,74,230,214,,,Suppressed (counts 1-9),,,,,,,,,,,,
01/26/2022,Alabama,2020,34,2020-08-22,1303,1219,16,193,22,55,17,58,13,21,26,293,75,209,197,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,35,2020-08-29,1216,1129,19,191,24,54,17,62,19,20,22,249,56,185,175,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,36,2020-09-05,1216,1132,22,212,24,61,14,65,12,15,12,258,60,156,142,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,37,2020-09-12,1232,1148,17,198,28,66,12,59,19,23,21,295,49,138,130,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,38,2020-09-19,1200,1132,18,226,20,56,17,69,20,20,15,257,62,139,134,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,39,2020-09-26,1183,1109,21,203,35,65,20,62,13,15,22,261,58,105,100,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,40,2020-10-03,1103,1010,14,181,28,47,20,55,11,20,10,260,47,111,99,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,41,2020-10-10,1204,1120,15,189,28,58,18,63,20,21,20,303,61,137,127,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,42,2020-10-17,1190,1114,20,198,28,60,12,59,19,21,18,259,69,126,112,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,43,2020-10-24,1142,1056,18,200,16,54,20,54,16,19,15,276,47,119,112,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,44,2020-10-31,1169,1093,22,187,23,62,23,47,23,12,20,278,60,131,119,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,45,2020-11-07,1277,1183,15,215,27,54,14,54,18,23,21,296,65,151,141,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,46,2020-11-14,1269,1186,16,209,27,64,13,62,19,24,21,289,58,176,165,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,47,2020-11-21,1275,1176,11,195,29,69,17,58,13,27,22,267,61,168,155,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,48,2020-11-28,1326,1237,24,206,26,57,17,64,14,27,24,291,54,202,186,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,49,2020-12-05,1355,1259,30,177,32,63,14,66,28,14,22,300,66,251,239,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,50,2020-12-12,1598,1509,21,228,47,82,21,56,23,24,25,299,70,378,362,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,51,2020-12-19,1584,1485,13,195,31,71,31,69,17,26,29,310,70,390,363,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,52,2020-12-26,1626,1554,23,195,46,74,17,66,25,25,25,329,60,452,422,,,,,,,,,,,,,,,
01/26/2022,Alabama,2020,53,2021-01-02,1804,1703,22,200,35,79,21,70,26,26,37,325,77,509,480,,,,,,,,,,,,,,,
01/26/2022,Alabama,2021,1,2021-01-09,1809,1706,21,223,36,70,19,79,27,24,33,336,62,546,527,,,,,,,,,,,,,,,
01/26/2022,Alabama,2021,2,2021-01-16,1831,1741,16,211,47,66,25,62,22,24,28,346,67,595,569,,,,,,,,,,,,,,,
01/26/2022,Alabama,2021,3,2021-01-23,1790,1688,16,194,39,63,19,64,26,33,28,336,63,579,546,,,,,,,,,,,,,,,
01/26/2022,Alabama,2021,4,2021-01-30,1637,1559,20,206,37,63,20,74,24,22,21,311,63,490,460,,,,,,,,,,,,,,,
01/26/2022,Alabama,2021,5,2021-02-06,1508,1409,22,216,24,66,23,69,19,22,26,302,62,345,332,,,,,,,,,,,,,,,
01/26/2022,Alabama,2021,6,2021-02-13,1431,1337,20,201,30,66,15,67,24,19,20,326,77,265,249,,,,,,,,,,,,,,,
01/26/2022,Alabama,2021,7,2021-02-20,1332,1252,31,196,37,62,20,44,27,18,21,312,62,214,192,,,,,,,,,,,,,,,
01/26/2022,Alabama,2021,8,2021-02-27,1313,1218,21,182,21,57,22,59,18,14,19,324,74,170,152,,,,,,,,,,,,,,,
01/26/2022,Alabama,2021,9,2021-03-06,1158,1050,18,202,21,50,21,42,27,26,18,260,58,110,93,,,,,,,,,,,,,,,
01/26/2022,Alabama,2021,10,2021-03-13,1189,1090,12,176,25,46,21,65,16,25,27,265,53,104,93,,,,,,,,,,,,,,,
01/26/2022,Alabama,2021,11,2021-03-20,1057,976,27,166,24,60,18,49,15,22,20,233,49,81,72,,,,,,,,,,,,,,,
01/26/2022,Alabama,2021,12,2021-03-27,1189,1072,28,156,34,47,22,58,24,19,24,300,92,78,68,,,,,,,,,,,,,,,
01/26/2022,Alabama,2021,13,2021-04-03,1104,1004,18,189,26,41,19,69,15,18,26,239,64,66,56,,,,,,,,,,,,,,,
01/26/2022,Alabama,2021,14,2021-04-10,1208,1095,20,204,28,47,20,55,27,23,23,289,69,53,49,,,,,,,,,,,,,,,
01/26/2022,Alabama,2021,15,2021-04-17,1167,1069,25,227,38,49,16,54,19,18,24,267,53,43,38,,,,,,,,,,,,,,,
01/26/2022,Alabama,2021,16,2021-04-24,1105,1007,27,204,36,44,25,49,20,13,16,280,54,45,38,,,,,,,,,,,,,,,
01/26/2022,Alabama,2021,17,2021-05-01,1192,1103,26,216,23,50,21,64,26,25,24,303,58,46,41,,,,,,,,,,,,,,,
01/26/2022,Alabama,2021,18,2021-05-08,1152,1044,16,209,38,41,10,73,24,20,24,264,57,63,60,,,,,,,,,,,,,,,
01/26/2022,Alabama,2021,19,2021-05-15,1095,989,20,180,24,48,15,69,16,30,22,272,59,50,46,,,,,,,,,,,,,,,
